APPLICATION NUMBER,TYPE,YEAR ISSUED,PRINCIPAL DUE,ADDRESS, 
   319253,PERMIT,2011,3466.75,1721 N STILLMAN ST , 
   319255,PERMIT,2011,4517.35,2347 N 25TH ST , 
   319301,PERMIT,2011,3774.51,2109 S 72ND ST , 
   319328,PERMIT,2011,275.56,5711 WINDSOR ST , 
   319349,PERMIT,2011,12412.06,6536 N LAMBERT ST , 
   319382,PERMIT,2011,22036.05,876 N 26TH ST , 
   319394,PERMIT,2011,2731.44,3315 RAND ST , 
   319483,PERMIT,2011,2953.45,4947 N 17TH ST , 
   319502,PERMIT,2011,8819.06,969 E PRICE ST , 
   319505,PERMIT,2011,0,2109 N WOODSTOCK ST , 
   319533,PERMIT,2011,337.19,2023 N 20TH ST , 
   319537,PERMIT,2011,3633.66,402 W RAYMOND ST , 
   319625,PERMIT,2011,808.2,21 E COLUMBIA AVE 307, 
   319637,PERMIT,2011,1601.32,21 E COLUMBIA AVE 407, 
   319638,PERMIT,2011,1658.51,21 E COLUMBIA AVE 408, 
   319729,PERMIT,2011,4896.49,1514 N 62ND ST , 
   319755,PERMIT,2011,8262.81,2811 N 20TH ST , 
   319791,PERMIT,2011,0,1900 S BROAD ST , 
   319891,PERMIT,2011,975.83,2238 DICKINSON ST , 
   319896,PERMIT,2011,201.69,2012 N WOODSTOCK ST , 
   319910,PERMIT,2011,6812.14,314 W TULPEHOCKEN ST , 
   320008,PERMIT,2011,10263.13,2752 N 23RD ST , 
   320009,PERMIT,2011,715.14,5508 MALCOLM ST , 
   320048,PERMIT,2011,280.91,2510 TURNER ST , 
   320057,PERMIT,2011,2908.37,1501 PARRISH ST , 
   320063,PERMIT,2011,6812.14,314 W TULPEHOCKEN ST , 
   320074,PERMIT,2011,280.91,2510 TURNER ST , 
   320082,PERMIT,2011,8935.32,1906 N HOWARD ST , 
   320087,PERMIT,2011,6295.81,2825 ORMES ST , 
   320089,PERMIT,2011,6862.8,6539 N LAMBERT ST , 
   320093,PERMIT,2011,2569.27,2913 N CAMAC ST , 
   320130,PERMIT,2011,3536.84,6619 YOCUM ST , 
   320134,PERMIT,2011,12.18,4419 FRANKFORD AVE , 
   320180,PERMIT,2011,2136.21,709 MOORE ST , 
   320197,PERMIT,2011,9075.04,1943 S ALDEN ST , 
   320209,PERMIT,2011,3596.93,5542 LINMORE AVE , 
   320248,PERMIT,2011,8834.85,4922 KERSHAW ST , 
   320390,PERMIT,2011,4928.16,30 N 57TH ST , 
   320449,PERMIT,2011,6216.61,2217 W TIOGA ST , 
   320451,PERMIT,2011,4400.57,2067 SIMON ST , 
   320586,PERMIT,2011,2326.19,2120 N DOVER ST , 
   320647,PERMIT,2011,24741.36,915 ARCH ST , 
   320648,PERMIT,2011,614.6,3001 LEVICK ST , 
   320680,PERMIT,2011,24741.36,915 ARCH ST , 
   320736,PERMIT,2011,1766.74,1435 S ALLISON ST , 
   320814,PERMIT,2011,9244.47,5654 RODMAN ST , 
   320908,PERMIT,2011,1417.32,2716 N HEMBERGER ST , 
   320964,PERMIT,2011,337.19,2023 N 20TH ST , 
   320976,PERMIT,2011,2898.26,4836 N 09TH ST , 
   321237,PERMIT,2011,1542.23,2050 DICKINSON ST , 
   321352,PERMIT,2011,6751.37,654 N 38TH ST , 
   321376,PERMIT,2011,0,5132 FOLSOM ST , 
   321420,PERMIT,2011,1436.19,4339 BROWN ST , 
   321499,PERMIT,2011,1368.52,2719 E ALLEGHENY AVE , 
   321507,PERMIT,2011,10812.01,8719 MACON ST , 
   321584,PERMIT,2011,3673.5,2414 N OPAL ST , 
   321610,PERMIT,2011,2405.19,5747 N WOODSTOCK ST , 
   321668,PERMIT,2011,337.19,2023 N 20TH ST , 
   321779,PERMIT,2011,4020.1,2116 S 03RD ST , 
   321799,PERMIT,2011,3435.13,4656 BOUDINOT ST , 
   321803,PERMIT,2011,1442.19,6335 WHEELER ST , 
   321805,PERMIT,2011,2240.53,5731 HADDINGTON LN , 
   321806,PERMIT,2011,7117.64,1738 W ERIE AVE , 
   321831,PERMIT,2011,0,2329 FEDERAL ST , 
   321867,PERMIT,2011,2705.27,3833 CAMBRIDGE ST , 
   321870,PERMIT,2011,4285,3831 CAMBRIDGE ST , 
   321882,PERMIT,2011,2801.51,771 N 37TH ST , 
   322007,PERMIT,2011,1726.48,4520 N UBER ST , 
   322090,PERMIT,2011,150537.02,2901 FOX ST , 
   322190,PERMIT,2011,7448.91,807 S 57TH ST , 
   322291,PERMIT,2011,2167.83,2024 SEPVIVA ST , 
   322376,PERMIT,2011,7087.22,5041 VALLEY ST , 
   322380,PERMIT,2011,1311.46,1911 DIAMOND ST , 
   322462,PERMIT,2011,495.92,741 S 52ND ST , 
   322624,PERMIT,2011,214.25,951 WOLF ST , 
   322772,PERMIT,2011,10991.96,237 W QUEEN LN , 
   322797,PERMIT,2011,549.51,2714 N 08TH ST , 
   322820,PERMIT,2011,3162.7,134 MANHEIM ST , 
   322888,PERMIT,2011,24663.96,2101 W TIOGA ST , 
   322890,PERMIT,2011,19309.68,2103 W TIOGA ST , 
   322911,PERMIT,2011,3106.52,7254 SOMMERS RD , 
   322937,PERMIT,2011,2320.98,1716 N WILTON ST , 
   322981,PERMIT,2011,1368.52,2719 E ALLEGHENY AVE , 
   322994,PERMIT,2011,8990.88,4022 GREEN ST , 
   323047,PERMIT,2011,20394.59,7326 OXFORD AVE , 
   323052,PERMIT,2011,2353.84,927 S 55TH ST , 
   323062,PERMIT,2011,964.37,4827 HAVERFORD AVE , 
   323099,PERMIT,2011,632.03,2427 N CARLISLE ST , 
   323118,PERMIT,2011,19309.68,2103 W TIOGA ST , 
   323123,PERMIT,2011,4563.94,482 PINEWOOD RD , 
   323160,PERMIT,2011,8309.14,1360 E HAINES ST , 
   323198,PERMIT,2011,1036.15,531 N 58TH ST , 
   323418,PERMIT,2011,6850.1,4938 KINGSESSING AVE , 
   323432,PERMIT,2011,7110.2,5649 GAINOR RD , 
   323433,PERMIT,2011,5253.4,416 S 62ND ST , 
   323473,PERMIT,2011,6703.92,1601 MOUNT VERNON ST , 
   323603,PERMIT,2011,1368.52,2719 E ALLEGHENY AVE , 
   323606,PERMIT,2011,1368.52,2719 E ALLEGHENY AVE , 
   323648,PERMIT,2011,4389.18,5400 KINGSESSING AVE , 
   323730,PERMIT,2011,602.15,5007 HAZEL AVE , 
   323743,PERMIT,2011,10660.08,132 N PAXON ST , 
   323748,PERMIT,2011,1181.93,1330 W BOSTON ST , 
   323769,PERMIT,2011,6216.61,2217 W TIOGA ST , 
   323775,PERMIT,2011,3322.73,4818 N FRANKLIN ST , 
   323900,PERMIT,2011,9543.13,715 MOORE ST , 
   323967,PERMIT,2011,4005.54,664 E ALLEGHENY AVE , 
   324005,PERMIT,2011,2642.47,1835 N 25TH ST , 
   324114,PERMIT,2011,851.09,3500 WALLACE ST , 
   324135,PERMIT,2011,2570.42,3331 N WATER ST , 
   324224,PERMIT,2011,1589.72,3151 N 09TH ST , 
   324236,PERMIT,2011,4056.28,1039 EDGEMORE RD , 
   324286,PERMIT,2011,726.04,225 N 54TH ST , 
   324310,PERMIT,2011,1333.51,3736 N PERCY ST , 
   324311,PERMIT,2011,1368.52,2719 E ALLEGHENY AVE , 
   324325,PERMIT,2011,2953.45,4947 N 17TH ST , 
   324366,PERMIT,2011,5021.47,1706 S BANCROFT ST , 
   324370,PERMIT,2011,7537.7,9345 ANNAPOLIS RD , 
   324394,PERMIT,2011,1368.52,2719 E ALLEGHENY AVE , 
   324552,PERMIT,2011,2326.4,5943 BELMAR ST , 
   324612,PERMIT,2011,3760.45,5227 HAVERFORD AVE , 
   324621,PERMIT,2011,1065.13,1641 N 27TH ST , 
   324646,PERMIT,2011,4451.59,929 E PHIL ELLENA ST , 
   324649,PERMIT,2011,4451.59,929 E PHIL ELLENA ST , 
   324675,PERMIT,2011,2840.25,6318 PASCHALL AVE , 
   324678,PERMIT,2011,15375.06,8046 MONTAGUE ST , 
   324727,PERMIT,2011,4061.75,1736 ELLSWORTH ST , 
   324756,PERMIT,2011,6243.9,3810 N SMEDLEY ST , 
   324849,PERMIT,2011,7611.28,1334 S 52ND ST , 
   324865,PERMIT,2011,8344.4,5325 N MARVINE ST , 
   324880,PERMIT,2011,8031.84,2814 N 25TH ST , 
   324910,PERMIT,2011,0,3204 BIRCH RD , 
   324944,PERMIT,2011,2833.06,120 E CUMBERLAND ST , 
   325003,PERMIT,2011,896.54,2528 N 33RD ST , 
